"","ST 0.00828394728669722","ST 0.0641395952110837"
"filling_avg_temp",4,61
"filling_fq_Maximum_temperature..31",61,61
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",19,61
"filling_fq_Snow_depth..1",6,61
"filling_length_days",61,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",23,61
"filling_sk_Maximum_temperature..31",21,61
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",22,61
"filling_total_prec",12,9
"generative_avg_temp",5,6
"generative_fq_Maximum_temperature..31",16,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",24,61
"generative_fq_Snow_depth..1",61,8
"generative_length_days",61,10
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",28,61
"generative_sk_Precipitation_amount..0.1",26,61
"generative_sk_Precipitation_amount..40",30,61
"generative_sk_Snow_depth..1",61,61
"generative_total_prec",17,7
"NA_avg_temp",3,4
"NA_fq_Maximum_temperature..31",29,61
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",13,61
"NA_fq_Snow_depth..4",61,5
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",20,61
"NA_sk_Minimum_temperature...15",61,61
"NA_sk_Precipitation_amount..0.1",14,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",9,61
"NA_sk_Snow_depth..4",61,61
"NA_total_prec",10,61
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",61,61
"vegetative_fq_Precipitation_amount..0.1",15,61
"vegetative_fq_Precipitation_amount..40",27,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",8,3
"vegetative_sk_Maximum_temperature..31",61,61
"vegetative_sk_Precipitation_amount..0.1",11,61
"vegetative_sk_Precipitation_amount..40",31,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",18,61
"critical_events",61,61
"filling",25,61
"generative",61,61
"NA.",7,61
"vegetative",61,61
"area",1,1
